ticker,num_episodes,avg_gap_days,avg_cycle_days,std_gap_days,coefficient_variation,last_pump,predicted_next,predictability
AGL,4,91.66666666666667,92.66666666666667,20.154955277107963,0.2198722393866323,2025-10-15,2026-01-14,HIGH
XHLD,7,35.166666666666664,37.333333333333336,9.441339358845699,0.268474104990873,2025-10-28,2025-12-02,HIGH
AIRE,8,40.857142857142854,43.714285714285715,13.206368284479504,0.3232327901795683,2025-10-23,2025-12-02,MEDIUM
NAKA,6,44.0,51.6,16.565023392678924,0.37647780437906647,2025-10-27,2025-12-10,MEDIUM
HBIO,8,35.714285714285715,35.714285714285715,14.606400609852868,0.4089792170758803,2025-10-30,2025-12-04,MEDIUM
ORIS,11,31.4,32.9,12.854571171377131,0.409381247496087,2025-11-04,2025-12-05,MEDIUM
ARBK,6,47.4,48.8,20.11566553708825,0.4243811294744357,2025-10-06,2025-11-22,MEDIUM
PSNY,4,69.0,69.66666666666667,29.393876913398138,0.4259982161362049,2025-11-04,2026-01-12,MEDIUM
PCSA,8,42.0,43.0,18.524115556291942,0.4410503703879034,2025-10-08,2025-11-19,MEDIUM
PFSA,4,21.0,21.0,9.273618495495704,0.44160088073789067,2025-10-29,2025-11-19,MEDIUM
VSEE,7,45.833333333333336,45.833333333333336,20.827999317158515,0.4544290760107312,2025-10-29,2025-12-13,MEDIUM
EHGO,7,47.333333333333336,48.0,21.746008573733455,0.4594227163464814,2025-10-28,2025-12-14,MEDIUM
AZI,7,37.833333333333336,37.833333333333336,17.705146772117487,0.46797744772116706,2025-11-06,2025-12-13,MEDIUM
CHGG,6,41.0,41.2,19.483326204732087,0.47520307816419727,2025-09-18,2025-10-29,MEDIUM
LBGJ,7,52.833333333333336,53.833333333333336,25.6087007783596,0.4847072702528631,2025-10-30,2025-12-21,MEDIUM
ACET,6,47.0,48.6,23.55419283269966,0.5011530389936097,2025-10-07,2025-11-23,MEDIUM
PRPL,7,44.5,45.666666666666664,22.559181427229728,0.5069478972411174,2025-10-23,2025-12-06,MEDIUM
SHOT,10,30.333333333333332,31.88888888888889,15.470401847829724,0.5100132477306503,2025-10-06,2025-11-05,MEDIUM
MODD,6,49.0,49.0,25.400787389370432,0.5183834161096007,2025-11-03,2025-12-22,MEDIUM
ATCH,8,35.42857142857143,40.0,19.499869178001777,0.5503995332500501,2025-10-09,2025-11-13,MEDIUM
IXHL,9,33.875,35.0,18.75124995833611,0.553542434194424,2025-10-30,2025-12-02,MEDIUM
SGMO,7,46.333333333333336,47.166666666666664,25.655841873191807,0.553723205896226,2025-09-25,2025-11-10,MEDIUM
PPBT,5,46.75,49.25,26.592997198510737,0.5688341646740265,2025-10-29,2025-12-14,MEDIUM
ICCM,6,44.8,45.4,26.19465594353169,0.5847021415966895,2025-10-06,2025-11-19,MEDIUM
MBRX,10,34.111111111111114,35.888888888888886,22.545974976796213,0.6609569211438628,2025-11-03,2025-12-07,LOW
FEMY,12,25.818181818181817,26.454545454545453,18.3937646639397,0.7124345468427349,2025-11-03,2025-11-28,LOW
MOBX,9,37.75,40.125,28.50328928387038,0.7550540207647782,2025-11-04,2025-12-11,LOW
OPI,6,36.8,36.8,29.34893524474099,0.797525414259266,2025-09-15,2025-10-21,LOW
VRME,6,58.0,62.2,46.32493928760188,0.7987058497862393,2025-10-20,2025-12-17,LOW
CENN,10,32.0,32.77777777777778,28.06342023979892,0.8769818824937162,2025-10-24,2025-11-25,LOW
