ticker,signal_date,entry_price,pump_score,volume,vol_z,vol_ratio,signal_return,gap_up,volatility,return_1d,return_5d,return_10d,return_20d,max_drawdown_20d,days_to_bottom,max_gain_20d,days_to_peak,classification
ATCH,2025-01-02,10.050000190734863,65,401800,3.451887903781115,8.218004137636061,0.04687497826914089,0.09999999998958334,0.623880630661095,-0.1890547797159455,-0.2159204015035221,-0.35323384312048306,-0.5542288622836429,-0.5860696747799835,29.0,0.06965172099304728,4,confirmed_pump
ATCH,2025-01-06,10.75,65,181600,0.9970460493465785,2.6597283298414247,0.3190184666460876,0.018404979043819287,0.28009299342189176,-0.09674418249795604,-0.3488372093023256,-0.4111627977947856,-0.6409302423166674,-0.6437209373296693,29.0,0.0,0,confirmed_pump
ATCH,2025-02-21,2.3499999046325684,55,1037600,3.326494217035394,4.152226979871127,-0.016736484734677592,0.0,0.1234043454965777,1.365957518474397,0.38297877952814224,-0.40851062038140074,-0.5531914915203132,-0.5617021220471857,27.0,1.365957518474397,3,likely_pump
ATCH,2025-02-24,5.559999942779541,120,146448400,4.248418501431865,19.361007074215138,1.365957518474397,0.7106383588744944,1.6528776390843238,-0.3129496452237168,-0.595323736842489,-0.7320143840160066,-0.8201438830411062,-0.8201438830411062,28.0,0.0,0,confirmed_pump
ATCH,2025-02-27,3.4800000190734863,60,9460000,0.011533768428219588,1.041451647084403,0.2340425891683393,0.4113475577587776,0.2988505620270272,-0.06609195914163284,-0.5459770016507061,-0.6522988415186496,-0.7784482691290829,-0.7784482691290829,28.0,0.0,0,confirmed_pump
ATCH,2025-04-14,0.6589999794960022,65,852700,0.7144526155553216,1.503257027510641,0.24574669016749806,0.02268435662185873,0.23520490983588974,-0.10470410905750945,-0.28224581987367253,-0.41578148339594534,-0.6297420177032131,-0.6297420177032131,29.0,0.0,0,confirmed_pump
ATCH,2025-05-08,0.33500000834465027,90,3442700,2.960024388052095,3.2000706437879916,0.17543864052051372,0.0,0.20895519670098325,-0.09552240133763495,-0.2477612006688175,-0.3611940411369897,-0.36716420234086117,-0.4328358421402159,15.0,0.0,0,confirmed_pump
ATCH,2025-05-12,0.3050000071525574,55,11688700,4.018903198176957,6.793524220241603,0.006600673375107169,-0.00990096085123486,0.2918033248260282,-0.200000009771253,-0.22622952165221727,-0.3180327888074596,-0.30163936220295634,-0.3770492027536954,11.0,0.0,0,confirmed_pump
ATCH,2025-05-22,0.21400000154972076,65,61996600,4.16547020616788,10.461663073788298,0.05940591137896156,0.0643564159699659,0.18691584662975008,-0.11214955028086948,-0.0654205535892754,-0.009345813264637588,-0.10747664364855068,-0.11214955028086948,1.0,0.028037370162318904,14,confirmed_pump
ATCH,2025-07-31,0.2199999988079071,120,291442900,4.2480401304028454,17.71013792611025,0.4666666004392863,0.1666665993281756,0.768181817768835,-0.27727274882399355,-0.163636357478859,-0.02272725117600642,-0.1136363913451346,-0.27727274882399355,1.0,0.08636360865486539,15,confirmed_pump
ATCH,2025-08-04,0.22200000286102295,110,221957800,2.4469835744999924,7.737796403924924,0.3962264822883761,0.5094339785110689,0.2612612491997039,-0.14864867948864585,-0.21171173529523898,-0.11711715158534929,-0.20720722172014708,-0.22072076244542282,8.0,0.07657652940952203,11,confirmed_pump
ATCH,2025-09-11,0.2540000081062317,65,17079000,1.3458910992251776,2.0653339162075923,0.2330097466614527,0.019417442626328028,0.208661363378589,0.5354329655445271,3.6062988966335814,2.248031345471561,0.9685038741844548,0.0,,5.377952571130749,6,likely_legit
ATCH,2025-09-12,0.38999998569488525,120,281071800,4.230468721509673,13.251662340546257,0.5354329655445271,0.1062991308790292,0.3974359140513419,1.5384616560249447,1.3512821265226314,1.0256411549607725,0.05128208067290284,-0.06923072102977268,26.0,3.1538463184349226,5,likely_legit
ATCH,2025-09-15,0.9900000095367432,120,498117700,3.6814946915632984,11.05975854125614,1.538461656024945,1.3076923278519315,0.5151514398288825,-0.12626262504632907,-0.4202020248239496,-0.2646464866614439,-0.588888887550962,-0.633333331326443,23.0,0.6363636254169616,2,confirmed_pump
ATCH,2025-09-17,1.6200000047683716,75,250682700,1.4686289425726695,4.236481615240083,0.8728323548065322,0.11329478473140073,0.5555555756531703,-0.2777778063945482,-0.5864197440017307,-0.7172839488003462,-0.7493827239984856,-0.7759259232005192,21.0,0.0,0,confirmed_pump
ATCH,2025-09-24,0.6700000166893005,95,514808700,2.565121582253394,4.963775081923082,0.6750000167638062,0.2800000410232506,0.33134327910416733,0.23134323511763244,-0.31641792107010797,-0.458208960535054,-0.462686559197419,-0.4776119622070977,27.0,0.23134323511763244,1,confirmed_pump
ATCH,2025-09-25,0.824999988079071,60,150423300,0.24797720964099842,1.3546190510175067,0.23134323511763233,0.13731344059763556,0.1599999651269941,-0.04242420257834525,-0.42666667051989626,-0.3939393851820539,-0.5587878813712941,-0.5757575768522433,26.0,0.0,0,confirmed_pump
ATCH,2025-10-09,0.5,65,431788600,1.758055853319204,3.005361419564751,0.3774104475118305,0.3774104464721322,0.33999997309395635,-0.18000000715255737,-0.24199998378753662,-0.2720000147819519,,-0.36739999055862427,28.0,0.0,0,insufficient_data
