Date,Close,High,Low,Open,Volume,vol_z,vol_ratio,vol_trend,return,price_z,gap_up,volatility,momentum,pump_score,flag
2024-11-08,1.100000023841858,1.2000000476837158,1.0700000524520874,1.13100004196167,26100,,,,,,,0.11818181117797513,,10,False
2024-11-11,1.100000023841858,1.1399999856948853,1.0800000429153442,1.1200000047683716,20300,,,,0.0,,0.018181800431676335,0.054545401295029,,0,False
2024-11-12,1.0700000524520874,1.1200000047683716,1.0700000524520874,1.090000033378601,29000,,,,-0.027272700672307915,,-0.009090900215838168,0.04672892506404261,,0,False
2024-11-13,1.0700000524520874,1.149999976158142,1.0449999570846558,1.0800000429153442,19000,,,,0.0,,0.009345785012808522,0.0981308540450349,,0,False
2024-11-14,1.0549999475479126,1.090000033378601,1.0199999809265137,1.090000033378601,39000,,,,-0.014018788942859906,,0.018691570025617044,0.06635076385400256,,0,False
2024-11-15,1.0099999904632568,1.0399999618530273,1.0,1.0399999618530273,66300,,,,-0.042653989878622345,,-0.01421799661273067,0.03960392296150085,,0,False
2024-11-18,0.9800000190734863,1.062000036239624,0.9800000190734863,1.0199999809265137,27100,,,,-0.029702942250534492,,0.009900980740375213,0.08367348519032565,,0,False
2024-11-19,0.8980000019073486,0.9940000176429749,0.8500000238418579,0.9800000190734863,57400,,,,-0.08367348527570673,,0.0,0.16035634001659818,,10,False
2024-11-20,0.9100000262260437,0.9449999928474426,0.8999999761581421,0.8999999761581421,10400,,,,0.013363056005798457,,0.0022271428110449626,0.049450566310942044,,0,False
2024-11-21,0.8799999952316284,0.9190000295639038,0.8700000047683716,0.9190000295639038,16300,,,,-0.03296706607672484,,0.009890113262188409,0.055681846597002406,,0,False
2024-11-22,0.8600000143051147,0.9300000071525574,0.8500000238418579,0.8799999952316284,35300,,,,-0.02272725117600638,,0.0,0.09302323475228859,,0,False
2024-11-25,0.9779999852180481,0.9950000047683716,0.8600000143051147,0.8600000143051147,38900,,,,0.13720926622109197,,0.0,0.13803680200989102,,30,False
2024-11-26,1.0199999809265137,1.0959999561309814,0.9800000190734863,1.0800000429153442,36000,,,,0.04294478153708914,,0.10429453899251377,0.11372543050285305,,20,False
2024-11-27,0.9800000190734863,1.0199999809265137,0.9800000190734863,1.0199999809265137,19200,,,,-0.03921564960882995,,0.0,0.040816286769083845,,0,False
2024-11-29,1.156000018119812,1.1699999570846558,1.0,1.0,55800,,,,0.17959183226620756,,0.020408143384541923,0.1470587839731137,,30,False
2024-12-02,1.065000057220459,1.2100000381469727,1.059999942779541,1.2100000381469727,75400,,,,-0.07871968812540409,,0.04671281932008678,0.1408451522698237,,10,False
